剧情ID,剧情对话1类型,剧情对话1人物方位,剧情对话1人物ID,剧情对话1人物Y轴偏移值,剧情对话1人物动作,"剧情对话1人物
头部转向","剧情对话1人物
身体朝向",剧情对话1文本,语音1,剧情对话2类型,剧情对话2人物方位,剧情对话2人物ID,剧情对话2人物Y轴偏移值,剧情对话2人物动作,"剧情对话2人物
头部转向","剧情对话2人物
身体朝向",剧情对话2文本,语音2,剧情对话3类型,剧情对话3人物方位,剧情对话3人物ID,剧情对话3人物Y轴偏移值,剧情对话3人物动作,"剧情对话3人物
头部转向","剧情对话3人物
身体朝向",剧情对话3文本,语音3,剧情对话4类型,剧情对话4人物方位,剧情对话4人物ID,剧情对话4人物Y轴偏移值,剧情对话4人物动作,"剧情对话4人物
头部转向","剧情对话4人物
身体朝向",剧情对话4文本,语音4,剧情对话5类型,剧情对话5人物方位,剧情对话5人物ID,剧情对话5人物Y轴偏移值,剧情对话5人物动作,"剧情对话5人物
头部转向","剧情对话5人物
身体朝向",剧情对话5文本,语音5,剧情对话6类型,剧情对话6人物方位,剧情对话6人物ID,剧情对话6人物Y轴偏移值,剧情对话6人物动作,"剧情对话6人物
头部转向","剧情对话6人物
身体朝向",剧情对话6文本,语音6,
Bhuanazhixin,1,2,E:6B1058,0,,15,10,华纳神族终将崛起！,,1,1,$:best,0,,10,-48,我绝不否认这一点！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Byideng,1,2,E:ST0151,0,,15,10,你们不能再向前一步！,,1,1,$:best,0,,10,-48,这是为何？,,1,2,E:ST0151,0,,15,10,这是……,,1,2,E:ST0150,0,,15,10,和他们讲这么多干嘛！！干掉他们！,,1,1,$:best,,,10,-48,啊，你们现在不讲究和平了？,,,,,,,,,,,
Byidenghou,1,2,E:ST0150,0,,15,10,竟然没能拦住他们，若叫他们碰触到那个秘密，可怎么办！！！,,1,2,E:ST0151,0,,15,10,他们不会如愿的，我决不放弃！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bhuanasiji,1,1,$:worst,0,,10,-48,我们似乎又卷入了奇怪的事件之中！,,1,1,$:best,0,,10,-48,我们静观其变吧，都仔细注意华纳神族的动向。,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bhuanazhihen,1,2,E:6B6058,0,,15,10,胆敢入侵华纳神族的人，杀无赦！,,1,1,$:worst,0,,10,-48,那可得看看你实力是否名副其实！,,1,2,E:6B6058,0,,15,10,狂妄！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bnieerde,1,2,E:ST0126,0,,15,10,华纳神族，将由我来守护！,,1,1,$:worst,0,,10,-48,上次你不是跑的挺快的吗？,,1,2,E:ST0126,0,,15,10,不……我要，重新面对我自己，和整个华纳神族！我不能再逃避……,,1,2,E:ST0126,0,,15,10,来战吧！为了华纳神族的崛起！为了少女们无邪的爱情！！,,,,,,,,,,,,,,,,,,,,
Bnieerdehou,1,2,E:ST0126,0,,15,10,我怎么能又失败了？这可怎么办……明明是击溃阿萨神族最好的时机……,,1,1,$:best,0,,10,-48,这到底发生了什么？,,1,2,E:ST0126,0,,15,10,看来只能背水一战了……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bhuanayinyou,1,2,E:6B1058,0,,15,10,阻止他们！,,1,1,$:best,0,,10,-48,我们的征途才刚刚开始！！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bhuanaxianzu,1,1,$:worst,0,,10,-48,这些华纳士兵异常的沉默，我有点不太适应……,,1,2,E:6B3058,0,,15,10,因为讲那些废话并没有意义！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bhuoerdeer,1,1,$:best,0,,10,-48,我始终没能想明白，涅尔德所说的最好的时机时机是什么……,,1,2,E:ST0126,0,,15,10,你们想明白又有什么意义？阿萨神族已经大祸临头了，他们等着迎接诸神黄昏吧！哈哈哈哈哈哈哈……,,1,1,$:best,0,,10,-48,坏了，我们必须阻止这件事！,,1,2,E:ST0152,0,,15,10,你们无法阻止，因为光明之神巴尔德，他已经死了……,,,,,,,,,,,,,,,,,,,,
Bhuoerdeerhou,1,1,$:best,0,,10,-48,难道你们忘记了？世界已经破碎又融合，一旦发生诸神黄昏，那将是全世界的灾难！,,1,2,E:ST0152,0,,15,10,哈哈哈哈，就让这世界陪着他们毁灭吧，反正也没人在乎我，那就一起陪葬吧！,,1,2,E:ST0150,0,,15,10,不！华纳神族，不能跟着他们倾覆，为了世界的和平，你们快去阻止这件事！,,1,1,$:best,0,,10,-48,现在想起我们来了？你们早干嘛啦……,,,,,,,,,,,,,,,,,,,,
Byouanbihusuo,1,1,$:worst,0,,10,-48,为什么我们还是得来寻找解决诸神黄昏这件事？,,1,1,$:best,0,,10,-48,因为现在已经世界大乱……一旦揭开诸神黄昏的序章，这这代价将无法承受……,,1,1,$:worst,0,,10,-48,虽然说阿萨神族是一窝骗子，这华纳神族也好不到哪里去，以为世界之大，人人皆他妈，要亲命了！,,1,1,$:best,0,,10,-48,别抱怨了，为了我们的信仰与梦想！糟糕，我们被发现了！,,,,,,,,,,,,,,,,,,,,
Bsiwangbihusuo,1,1,$:worst,0,,10,-48,又是骷髅士兵！这简直糟糕透了！,,1,2,E:1B1096,0,,15,10,这里！将成为你们的埋骨之地！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bnaerfu,1,2,E:ST0153,0,,15,10,天哪，你们是什么人？,,1,1,$:worst,0,,10,-48,我们……,,1,2,E:ST0153,0,,15,10,怎么办，怎么办，我感到十分的恐惧！！他们一定是来为难父亲的，一定是！！！,,1,1,$:worst,0,,10,-48,听我们说……,,1,2,E:ST0153,,,15,10,不行！！不行！！！我不听！！！我一定得要坚强才行！！,,,,,,,,,,,
Bnaerfuhou,1,2,E:ST0153,0,,15,10,呜呜呜，又给父亲丢脸了……,,1,2,E:ST0153,0,,15,10,不行不行，这不行，为了父亲我得学会独立和战斗！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bcankubihusuo,1,1,$:worst,0,,10,-48,他他他……就这么跑了？他是谁？？？,,1,1,$:best,0,,10,-48,应该是洛基的儿子，纳尔弗……洛基唯一没有被流放的孩子……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bfujibihusuo,1,2,E:1B6096,0,,15,10,就是他们！快快快！包围他们！,,1,1,$:worst,0,,10,-48,糟糕，我们被包围了！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Byemengjiade,1,2,E:ST0155,0,,15,10,你说有外人入侵？就是他们吗？,,1,2,E:ST0153,0,,15,10,是啊是啊！！！！,,1,2,E:ST0155,0,,15,10,不要害怕这些卑微的凡人，他们和阿萨神族一样令人厌恶！,,1,1,$:best,0,,10,-48,我不想涉入你们的恩怨，只是……,,1,2,E:ST0155,,,15,10,踏入这里的人！！都得死！！！,,,,,,,,,,,
Byemengjiadehou,1,2,E:ST0155,0,,15,10,居然会失败！这不可能！难道是因为我在无尽之海待得太久了？,,1,1,$:best,0,,10,-48,也没有那么糟糕……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bguihunbihusuo,1,1,$:best,0,,10,-48,继续前进！,,1,2,E:1B1096,0,,15,10,这并没有你们想象中那么容易！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bshouweibihusuo,1,2,E:1B6096,0,,15,10,没有人能够活着离开这里！,,1,1,$:worst,0,,10,-48,我觉得，现在这种，你们应该先担心自己！,,1,2,E:1B1096,0,,15,10,看到哥的骨头了吗？哥会需要担心？,,1,1,$:worst,0,,10,-48,那就将你的骨头，和生命一起碾碎！,,1,2,E:1B4096,,,15,10,大言不惭！,,,,,,,,,,,
Bfenlie,1,2,E:ST0108,0,,15,10,你们是谁？到这里来做什么？是提尔派你们前来的吗？,,1,1,$:best,0,,10,-48,不是的！,,1,2,E:ST0108,0,,15,10,不是就好！提尔这个混蛋，我恨不得立刻就撕烂他的血肉！吞噬他的灵魂！那么你们？,,1,1,$:best,0,,10,-48,我们希望能够阻止再次开启的诸神黄昏……,,1,2,E:ST0108,,,15,10,这不可能！,,,,,,,,,,,
Bfenliehou,1,2,E:ST0108,0,,15,10,你们为什么要阻止我们？为什么？难道虚伪的北欧诸神不应该被毁灭吗？,,1,1,$:best,0,,10,-48,现在世界融合，一旦开启，将是所有文明的灾难，你们看不到吗？,,1,2,E:ST0108,0,,15,10,其他文明和我有什么关系！！,,1,1,$:best,0,,10,-48,不，芬里厄，不应该让仇恨蒙蔽我们的双眼……,,,,,,,,,,,,,,,,,,,,
Bzhuijibihusuo,1,1,$:worst,0,,10,-48,快追上芬里厄！,,1,2,E:1B6096,0,,15,10,太迟了！我不会叫你们前进一步！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Btuxibihusuo,1,2,E:1B4096,0,,15,10,哈哈哈哈，我的大刀已经饥渴难耐啦！,,1,1,$:worst,0,,10,-48,让开！我们还有很多事没有完成！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bluoji,1,2,E:ST0154,0,,15,10,啊，你们最终还是追到了这里……,,1,1,$:best,0,,10,-48,我们并不想叫世界再糟劫难……,,1,2,E:ST0154,0,,15,10,我也不想的，只是命运，它终究不随人意……,,1,1,$:best,0,,10,-48,别强调命运了，你明明知道——我命由我不由天这句话，将一切推给命运……这种行为太懦弱了！,,1,2,E:ST0108,,,15,10,呵呵，圣母我见的多了，如你们这般的，还真是少见啊！请问你们尝试过背叛的滋味吗？尝过因为信任而被捆绑吗？尝过一出生便被流放的滋味吗？,,1,2,E:ST0108,,,15,10,世界诸神你争我夺，有考虑过他人的感受吗？你们伸着一张救世主的脸，说到底还不是在四处掠夺？,,
Bluojihou,1,1,$:worst,0,,10,-48,最近的事情都十分的诡异……,,1,2,E:ST0154,0,,15,10,是啊是啊，不但你我成为他人棋子……,,1,1,$:worst,0,,10,-48,感觉是被人骗了！！！,,1,2,E:ST0108,0,,15,10,呵呵……,,,,,,,,,,,,,,,,,,,,
Bposuicaihongqiao,1,2,E:ST0002,0,,15,10,快，英雄们，彩虹桥被人破坏了！,,1,1,$:best,0,,10,-48,天哪，什么人如此的丧心病狂？那可是整个世界的宝贵财富！,,1,2,E:ST0002,0,,15,10,快去看看吧！,,1,2,E:8B6067,0,,15,10,有人来了，快过来看看！！,,,,,,,,,,,,,,,,,,,,
Byouyucaihongqiao,1,1,$:worst,0,,10,-48,你们疯啦！怎么能破坏自己文明的绚丽瑰宝呢？这可是全世界的财富！,,1,2,E:9B1067,0,,15,10,这不是全世界的财富，这是属于北欧人民的财富，你们这些强盗！！,,1,1,$:worst,0,,10,-48,好吧好吧！这是北欧人民的财富，可是你们为何如此？,,1,2,E:9B1067,0,,15,10,你又有什么立场来过问这些呢？,,,,,,,,,,,,,,,,,,,,
Bweili,1,2,E:ST0159,0,,15,10,抓紧时间，我们要尽快破坏掉彩虹桥！,,1,1,$:worst,0,,10,-48,等等，等等，这位大叔！！到底什么仇什么怨，您要对彩虹桥如此绝情呢？它可是北欧世界不可分割的一部分呀！,,1,2,E:ST0159,0,,15,10,请叫我威利！,,1,2,E:ST0159,0,,15,10,在奥丁抛弃我和维，踏着我们的血泪登上神王宝座的时候，我们就已经不是北欧世界的一部分了！那些黑暗悲伤的日子不提也罢！快让开！,,,,,,,,,,,,,,,,,,,,
Bweilihou,1,1,$:worst,0,,10,-48,你们兄弟之间的感情竟然破裂，然而破坏掉彩虹桥，又能有什么意义？,,1,2,E:ST0159,0,,15,10,我流浪的时候，遇见一位叫做奥德修斯的小哥，他讲，破坏掉彩虹桥，他便能助我重登神王宝座！,,1,1,$:worst,0,,10,-48,……您这个智商啊，也是活该被奥丁坑啊……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bqizhacaihongqiao,1,1,$:worst,0,,10,-48,北欧世界的事情也各种复杂……,,1,1,$:best,0,,10,-48,这个我们已经见识过了……他们都在为了自己的利益而战，将这个破碎又融合的世界拖入无尽的黑暗之中……,,1,2,E:8B3067,0,,15,10,快！阻止他们！,,1,1,$:best,0,,10,-48,不能叫他们继续破坏彩虹桥！,,,,,,,,,,,,,,,,,,,,
Btuxicaihongqiao,1,1,$:worst,0,,10,-48,这个威利肯定是被人骗了！话说这个奥德修斯怎么听起来这么耳熟……,,1,1,$:best,0,,10,-48,我也正在想这件事……等等，前面怎么来了一群希腊的士兵！！,,1,2,E:9B4067,0,,15,10,嘿！干什么的？你们看起来可不是北欧世界的！破坏大事的人，格杀勿论！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Baodexiusi,1,2,E:ST0156,0,,15,10,我远远的就听到有人在喊我的名字……,,1,1,$:worst,0,,10,-48,竟然还真的是他……,,1,2,E:ST0156,0,,15,10,奉我的女神雅典娜之命，前来调查希腊英雄流失之谜！,,1,2,E:ST0159,0,,15,10,不是助我登上神王宝座吗？,,1,2,E:ST0156,,,15,10,呃……没错，是这样，主要是帮你，调查是附带的！,,1,2,E:ST0159,,,15,10,诶呀，你早说啊！！你怎么不早说呢！！太不把我当兄弟，我帮你呀！！不过我们先要碾碎这些渣渣！,,
Baodexiusihou,1,2,E:ST0156,0,,15,10,居然失败了？,,1,1,$:best,0,,10,-48,看来离开雅典娜，你也是一无是处啊！,,1,2,E:ST0156,0,,15,10,那就等着我的女神雅典娜，赐予你们最可怕的惩罚！,,1,1,$:best,0,,10,-48,诶呀，我真的好怕~~看看美杜莎和特洛伊大祭司就知道了~~~,,,,,,,,,,,,,,,,,,,,
Bjuezhancaihongqiao,1,1,$:worst,0,,10,-48,这里的希腊士兵好多！都怪可怕的带路党！,,1,2,E:9B6068,0,,15,10,干掉他们！为了雅典娜！,,1,1,$:worst,0,,10,-48,难道他们想把这座桥改名叫做雅典娜之桥？,,1,1,$:best,0,,10,-48,有可能……吧……,,,,,,,,,,,,,,,,,,,,
Bkeruisi,1,2,E:ST0160,0,,15,10,你们有没有看到我的女儿……,,1,1,$:worst,0,,10,-48,没有，你的女儿是谁？,,1,2,E:ST0160,0,,15,10,她叫做珀耳塞福涅，如春花一般美丽……,,1,1,$:best,0,,10,-48,呃……我想你找错地方了，您的女儿可能在冥界……,,1,2,E:ST0160,,,15,10,好大的胆子！谁允许你们诅咒我的女儿！！,,,,,,,,,,,
Bkeruisihou,1,2,E:ST0160,0,,15,10,我的女儿啊！！！！,,1,1,$:best,0,,10,-48,我们没骗你……,,1,2,E:ST0160,0,,15,10,闭嘴！！！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bjuewangcaihongqiao,1,1,$:worst,0,,10,-48,她怎么就是不相信呢？,,1,1,$:best,0,,10,-48,坏了，是我们没说清楚，她家姑娘在冥界那是被哈迪斯抢走当媳妇了……不是去世了，她误会了……,,1,1,$:worst,0,,10,-48,我们快找找她……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bqiangduocaihongqiao,1,2,E:9B6068,0,,15,10,我们最终会统治彩虹桥的！,,1,1,$:worst,0,,10,-48,这梦做的太美好！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bruiya,1,1,$:best,0,,10,-48,没想到竟然能在这里见到瑞亚女神！她在希腊世界也消失很久了……,,1,2,E:ST0157,0,,15,10,是吗？我有离开那么久吗？时间真是一晃而过啊！,,1,1,$:best,0,,10,-48,向您致以崇高的敬意！,,1,2,E:ST0157,0,,15,10,呵呵呵，不必客气，小男孩的争执我已经看得太久了，为了那些权利天天上演父杀子，子弑父的闹剧……,,1,1,$:best,,,10,-48,这真是不幸呢……,,1,2,E:ST0157,,,15,10,不能再叫这些小男孩胡闹下去了，世界还是得掌握在自己的手中，这样才能够过得舒心一些……,,
Bruiyahou,1,2,E:ST0157,0,,15,10,我竟然失败了？这不能……我还是叫母亲失望了呀……,,1,1,$:best,0,,10,-48,你要掌控希腊，为什么，会来到彩虹桥呢？,,1,2,E:ST0157,0,,15,10,希腊？那太小了……只有那些眼界低微的小男孩，才会舍弃广袤的世界，窝在自己的地洞中争得你死我活……,,1,2,E:ST0157,0,,15,10,我们要掌控的，绝不是那小小一块领土！对吗？尊敬的母亲……,,1,2,E:ST0159,,,15,10,什么？我怎么有点儿听不懂！！！,,,,,,,,,,,
Bgaiya,1,2,E:ST0056,0,,15,10,想不到，这么快就需要我的出场！！！虚无的黑暗已经叫我受够了！,,1,1,$:best,0,,10,-48,居然是希腊的创世神盖亚……真是糟糕啊……,,1,1,$:king,0,,10,-48,别担心，英雄们，我将与你们同在！,,1,2,E:ST0056,0,,15,10,哈哈哈哈哈，卑微的虫子，看我碾碎你们！,,,,,,,,,,,,,,,,,,,,
Bgaiyahou,1,1,$:best,0,,10,-48,感谢伟大的[ffb220]$P[-]庇佑，我们最终取得了胜利，真是来之不易！,,1,2,E:ST0056,0,,15,10,不……胜利，应该属于我们……,,1,1,$:best,0,,10,-48,很抱歉，但这是属于我们的胜利！,,1,2,E:ST0056,0,,15,10,地底深处的黑暗吞噬了我太多的力量，否则……啊……,,1,2,E:BOSS,,,15,10,不好，连盖亚都没能击败他们！,,1,1,$:worst,,,10,-48,你是谁？,,
Bhaigelisi,1,1,$:worst,0,,10,-48,这条路看起来很安全……,,1,1,$:best,0,,10,-48,你从哪看出来的？,,1,2,E:13B6104,0,,15,10,站住，入侵者！,,1,1,$:best,0,,10,-48,我说什么来着？,,,,,,,,,,,,,,,,,,,,
Bjinpingguozhilu,1,1,$:worst,0,,10,-48,我和你说呀，幸好瑞亚他们去彩虹桥是秘密的，不然我们岂不是要被希腊人民围追堵截？,,1,1,$:best,0,,10,-48,嘘……你还嫌被围追堵截的不够啊……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bchuanshuozhili,1,2,E:13B6104,0,,15,10,你们不能继续向前了！这里是英雄海格力斯踏过的土地！,,1,1,$:best,0,,10,-48,你看你看，乌鸦嘴了吧，就算他们什么的不知道，一样还是要围追堵截我们的！,,1,1,$:worst,0,,10,-48,好歹不会太疯狂吧……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bduolisi,1,2,E:ST0163,0,,15,10,听说你们得到了传说中的宝物，叫做混沌结晶？,,1,1,$:best,0,,10,-48,这消息传的真快啊，您听谁说的啊？,,1,2,E:ST0163,0,,15,10,这要你们管？快把混沌结晶交出来！我需要它！！,,1,1,$:best,0,,10,-48,凭什么呀！！！,,,,,,,,,,,,,,,,,,,,
Bduolisihou,1,2,E:ST0163,0,,15,10,你们竟然敢欺负一个姑娘！！呜呜呜呜,,1,1,$:worst,0,,10,-48,姑娘，长得漂亮也不能颠倒黑白啊，这样会变丑的！,,1,2,E:ST0163,0,,15,10,呜呜呜呜……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bchuanshuozhihui,1,1,$:worst,0,,10,-48,完了，我突然想到一件事……我们不光要被这些希腊士兵追杀，那多丽斯也不是善茬啊……肯定搬救兵去了……,,1,1,$:worst,0,,10,-48,要坏事啊……,,1,2,E:13B1103,0,,15,10,如果你们就此退走，我们将不再纠缠于你们，这里是英雄海格力斯踏过的土地，每一个战士都受到海格力斯的祝福！,,1,1,$:best,0,,10,-48,然后呢？,,1,2,E:13B4103,,,15,10,你们无法闯过我们的封锁，不如留好自己的生命！,,,,,,,,,,,
Bchuanshuozhishen,1,1,$:best,0,,10,-48,咱们能不能聊点吉利的？,,1,2,E:13B1103,0,,15,10,发现了闯入者，包围他们！！！,,1,1,$:worst,0,,10,-48,咱是想吉利啊，可是人家不让啊！！！！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bketuoduolisi,1,2,E:ST0107,0,,15,10,呵呵呵呵呵呵呵呵，我们可是老相识了呀，英雄们！,,1,1,$:worst,0,,10,-48,是啊是啊，您老最近可吉祥啊？,,1,2,E:ST0107,0,,15,10,你才老！！,,1,2,E:ST0107,0,,15,10,哼！本来是挺吉祥的，见着你们啊，就怕你们要不吉祥了呀！！欺负到咱们海仙女头上，这波塞冬大人可是不高兴的！,,1,1,$:worst,,,10,-48,哦，最近我们确实不太吉祥啊，碰见强盗还没处说理去，只怕这强盗要更不吉祥了！,,1,2,E:ST0107,,,15,10,呵呵呵呵，小孩子真是可爱啊，和以前一样嘴上便宜一点点也要占呢……,,
Bshouhuxinyang,1,2,E:13B1103,0,,15,10,就是他们！上面发下了关于他们的抓捕令！,,1,1,$:best,0,,10,-48,不要掉以轻心，希腊的士兵快要把我们包围了！,,1,2,E:13B3103,0,,15,10,付出代价吧！入侵者！海格力斯的尊严不容践踏！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bshouhuchuanshuo,1,1,$:worst,0,,10,-48,海仙女们的神位高还是海格力斯？,,1,2,E:13B1103,0,,15,10,这没有什么可比性！,,1,1,$:worst,0,,10,-48,是吗？看来你们的信仰也是很混乱呀？不怕上位神们的愤怒吗？,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Btemisi,1,2,E:ST0162,0,,15,10,我的法典告诉我，你们破坏了这世界的和平与正义！,,1,1,$:best,0,,10,-48,你这帽子扣的相当有水平，那么你告诉我，你的所作所为就没有破坏过世界的和平与正义吗？希腊诸神都没有吗？,,1,2,E:ST0162,0,,15,10,我代表着公正与正义，怎么会破坏？,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bweizaidanxi,1,1,$:best,0,,10,-48,太糟糕了，我们竟然得罪忒弥斯……,,1,1,$:worst,0,,10,-48,现在后悔也晚了呀……,,1,1,$:best,0,,10,-48,她要是招来宙斯什么的主神，我们就危险了……,,1,1,$:worst,0,,10,-48,……那么快跑！,,,,,,,,,,,,,,,,,,,,
Bhuofubuding,1,1,$:worst,0,,10,-48,这些希腊人也不想着干点正事，自已家的英雄们都跑北欧旅游去了……,,1,1,$:best,0,,10,-48,或许这就是忒弥斯没有拽着奥林匹斯主神出来的缘故……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bguzhuyizhi,1,1,$:best,0,,10,-48,哈哈哈哈，入侵者，你们的死期到了！,,1,1,$:best,0,,10,-48,不要得意！战争才刚刚开始！！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Btetisi,1,2,E:ST0163,0,,15,10,哼哼，就是他们欺负我！明明知道我需要混沌结晶，却拿着不给我！,,1,1,$:worst,0,,10,-48,我说姑娘，天下皆你妈啊？脸皮比奥林匹斯山还高是吗？,,1,2,E:ST0161,0,,15,10,在我的地盘欺负水仙女们，实在是罪无可恕！,,1,2,E:ST0162,0,,15,10,就是！还敢说我不公正的！哼！,,1,2,E:ST0107,,,15,10,揍他们！,,,,,,,,,,,
Btetisihou,1,1,$:best,0,,10,-48,姑娘们，讲点理好吗？,,1,2,E:ST0161,0,,15,10,不好！,,1,1,$:best,0,,10,-48,好吧，这明显不是一个合理的需求！,,1,1,$:best,0,,10,-48,还愣着干嘛，跑！！！！,,,,,,,,,,,,,,,,,,,,
Bmiwusenlin,1,1,$:best,0,,10,-48,简直是慌不择路！,,1,1,$:worst,0,,10,-48,怎么跑到这么个鬼地方！,,1,2,E:1B1096,0,,15,10,这里是个鬼地方？那好吧，如你们所愿！！！鬼来了！！！,,1,2,E:1B1096,0,,15,10,诶……怎么没有被吓哭？？,,,,,,,,,,,,,,,,,,,,
Bmimangqianlu,1,1,$:worst,0,,10,-48,我觉得我的人生受到了伤害，被当成了小朋友……,,1,1,$:best,0,,10,-48,那就安心向前走吧，这里的牛鬼蛇神虽多，但总是可以遮蔽一些主神的探查的。,,1,2,E:1B4096,0,,15,10,嘿嘿嘿，这迷雾森林里鸟不生蛋的地方，竟然出现了活人，太稀奇了！,,1,2,E:1B2096,0,,15,10,没事儿，他们马上就会变成死人啦，也稀奇不了多久！,,,,,,,,,,,,,,,,,,,,
Bmizhiweiji,1,1,$:worst,0,,10,-48,我觉得怕怕的，虽然洛基和他们儿子们被我们击败了，但这是他女儿海拉的地盘，但愿……,,1,2,E:1B6096,0,,15,10,我听到了什么？你们在讨论我们的女主人海拉，天哪天哪，大功劳啊，我要去汇报！！！！,,1,1,$:best,0,,10,-48,快抓住他！！！,,1,2,E:1B6096,0,,15,10,也好，那就带上你们一起去请功吧！哈哈哈哈！！！,,,,,,,,,,,,,,,,,,,,
Bpanduola,1,1,$:best,0,,10,-48,有人跑过去了，快抓住他！！！,,1,2,E:ST0167,0,,15,10,你们也是来抢夺我盒子的吗？,,1,1,$:worst,0,,10,-48,诶哟！！不是那些骷髅守卫，抱歉抱歉……我们认错人了！！,,1,2,E:ST0167,0,,15,10,撒谎，你们这种口是心非的男人我见多了！！！,,1,1,$:best,,,10,-48,真的是误会啊，大姐……,,,,,,,,,,,
Bmishimimi,1,2,E:1B1096,0,,15,10,别走！留下你们的肉体与灵魂！,,1,1,$:worst,0,,10,-48,留下才是傻子呢！,,1,2,E:1B1096,0,,15,10,哼，敬酒不吃吃罚酒！,,1,1,$:worst,0,,10,-48,大哥，这里的骷髅都和你似得这么有文化吗？,,,,,,,,,,,,,,,,,,,,
Bmiluanweiji,1,1,$:best,0,,10,-48,说起来，那潘多拉的盒子里似乎有一股奇异的力量，像是混沌结晶呢！,,1,1,$:worst,0,,10,-48,那我们追上去看看吧！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Blakexisi,1,2,E:ST0164,0,,15,10,站住，说的就是你们！,,1,1,$:best,0,,10,-48,诶？潘多拉！！！,,1,2,E:ST0164,0,,15,10,是我在和你们讲话！我，负责决定生命线的长度！而你们，滥杀无辜！废掉了很多我安排好的命运！,,1,2,E:ST0164,0,,15,10,实在是太过分了！,,1,1,$:best,,,10,-48,哦……抱歉！,,1,2,E:ST0164,,,15,10,抱歉有用的话，还要地狱干嘛？用你的的生命来补偿吧！,,
Bweijisenlin,1,1,$:worst,0,,10,-48,这拉刻西斯出现的太不合时宜了！叫她一搅合，完全忘记了问盒子的事！,,1,2,E:1B6096,0,,15,10,你们不是想追上去问吧！！！你们是想抢劫！！！,,1,1,$:best,0,,10,-48,你知道的太多了，知道太多的人往往活不长久！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bzhanzhengsenlin,1,2,E:1B1096,0,,15,10,果然！！！,,1,1,$:head,0,,10,-48,什么果然……,,1,2,E:1B1096,0,,15,10,嘿嘿，有人告诉咱们这里有鲜美的肉！,,1,1,$:worst,0,,10,-48,告诉你们的人，难道不是鲜美的肉？？？,,,,,,,,,,,,,,,,,,,,
Bsiwangsenlin,1,2,E:1B4096,0,,15,10,快来快来！！！肉在这！！！,,1,1,$:worst,0,,10,-48,你们至于吗！！为了块肉集结了这么大的部队！！,,1,2,E:1B4096,0,,15,10,嘿嘿嘿，刚才那几个人咱们没本事拦下他们，叫他们给跑了，多点人好抓住你们呀！哈哈哈！！！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bkarong,1,2,E:ST0165,0,,15,10,听说是你们害的这个世界变得融合！！,,1,1,$:worst,0,,10,-48,我们哪里有这个水平！,,1,2,E:ST0165,0,,15,10,那个姐姐那么漂亮，怎么会骗我！,,1,2,E:ST0165,0,,15,10,你们还我工作！还我钱！！！！,,1,1,$:best,,,10,-48,怎么了！,,1,2,E:ST0165,,,15,10,自从冥界和地府做了邻居，那地府有个桥叫奈何桥！他们都从那里绕路了！！！还我钱！！还我钱！！！,,
